date:1485844461,lat:47.08431885112077,long:2.4107525311410427;
date:1485844471,lat:47.08431885112077,long:2.4107525311410427;
date:1485844481,lat:47.08431885112077,long:2.4107525311410427;
date:1485844491,lat:47.08431885112077,long:2.4107525311410427;
date:1485844501,lat:47.08426763769239,long:2.4107340909540653;
date:1485844511,lat:47.0842327689752,long:2.4107116274535656;
date:1485844521,lat:47.0842327689752,long:2.4107116274535656;
date:1485844531,lat:47.0842327689752,long:2.4107116274535656;
date:1485844541,lat:47.0842327689752,long:2.4107116274535656;
date:1485844551,lat:47.08421592134982,long:2.4106809496879578;
date:1485844561,lat:47.0842362055555,long:2.4107133038342;
date:1485844571,lat:47.08423201460391,long:2.4107102025300264;
date:1485844581,lat:47.08423201460391,long:2.4107102025300264;
date:1485844591,lat:47.08424035459757,long:2.4107227753847837;
date:1485844601,lat:47.08422292023897,long:2.410687068477273;
date:1485844612,lat:47.08428448531777,long:2.4107019882649183;
date:1485844622,lat:47.08426084835082,long:2.4107180815190077;
date:1485844632,lat:47.0842224592343,long:2.410737778991461;
date:1485844642,lat:47.084218142554164,long:2.410659994930029;
date:1485844652,lat:47.084250915795565,long:2.410697713494301;
date:1485844662,lat:47.08425125107169,long:2.4106657784432173;
date:1485844672,lat:47.08425125107169,long:2.4106657784432173;
date:1485844682,lat:47.084272876381874,long:2.4106286466121674;
date:1485844692,lat:47.084309379570186,long:2.4105827137827873;
date:1485844702,lat:47.08436080254614,long:2.410495961084962;
date:1485844712,lat:47.08436641842127,long:2.410475593060255;
date:1485844722,lat:47.08436641842127,long:2.410475593060255;
date:1485844732,lat:47.08436641842127,long:2.410475593060255;
date:1485844742,lat:47.08436641842127,long:2.410475593060255;
date:1485844752,lat:47.08436641842127,long:2.410475593060255;
date:1485844762,lat:47.08436641842127,long:2.410475593060255;
date:1485844772,lat:47.08436641842127,long:2.410475593060255;
date:1485844782,lat:47.08436641842127,long:2.410475593060255;
date:1485844792,lat:47.0843223715201,long:2.4108607415109873;
date:1485844802,lat:47.08434575702995,long:2.4117182102054358;
date:1485844812,lat:47.08438158966601,long:2.4126372020691633;
date:1485844822,lat:47.08441595546901,long:2.413595924153924;
date:1485844832,lat:47.08433867432177,long:2.4147064425051212;
date:1485844842,lat:47.084254645742476,long:2.415812686085701;
date:1485844852,lat:47.08420267794281,long:2.4169711489230394;
date:1485844862,lat:47.084126276895404,long:2.4181377422064543;
date:1485844872,lat:47.083931816741824,long:2.4189310893416405;
date:1485844882,lat:47.08383471239358,long:2.419225126504898;
date:1485844893,lat:47.08338167052716,long:2.419116161763668;
date:1485844903,lat:47.083204980008304,long:2.418230948969722;
date:1485844913,lat:47.083027912303805,long:2.417436260730028;
date:1485844923,lat:47.08281622733921,long:2.4164147581905127;
date:1485844933,lat:47.08264519460499,long:2.415612693876028;
date:1485844943,lat:47.08248028066009,long:2.4149266351014376;
date:1485844953,lat:47.082056743092835,long:2.415109109133482;
date:1485844963,lat:47.081637689843774,long:2.415284374728799;
date:1485844973,lat:47.081774063408375,long:2.416087780147791;
date:1485844983,lat:47.08176999818534,long:2.4165729247033596;
date:1485844993,lat:47.08170139230788,long:2.4170047603547573;
date:1485845003,lat:47.081700721755624,long:2.417002748697996;
date:1485845013,lat:47.081700721755624,long:2.417002748697996;
date:1485845023,lat:47.081700721755624,long:2.417002748697996;
date:1485845033,lat:47.081700721755624,long:2.417002748697996;
date:1485845043,lat:47.081700721755624,long:2.417002748697996;
date:1485845053,lat:47.081700721755624,long:2.417002748697996;
date:1485845063,lat:47.081700721755624,long:2.417002748697996;
date:1485845073,lat:47.081700721755624,long:2.417002748697996;
date:1485845083,lat:47.081700721755624,long:2.417002748697996;
date:1485845093,lat:47.081700721755624,long:2.417002748697996;
date:1485845103,lat:47.081700721755624,long:2.417002748697996;
date:1485845113,lat:47.081700721755624,long:2.417002748697996;
date:1485845123,lat:47.081700721755624,long:2.417002748697996;
date:1485845133,lat:47.08170893602073,long:2.416941476985812;
date:1485845143,lat:47.08174841478467,long:2.416772497817874;
date:1485845153,lat:47.08176928572357,long:2.4166462663561106;
date:1485845164,lat:47.08183872979134,long:2.4165455158799887;
date:1485845174,lat:47.08193114027381,long:2.4164089746773243;
date:1485845184,lat:47.08200540393591,long:2.4162964057177305;
date:1485845194,lat:47.082100538536906,long:2.416193811222911;
date:1485845204,lat:47.08208146970719,long:2.416187860071659;
date:1485845214,lat:47.082113404758275,long:2.4162121675908566;
date:1485845224,lat:47.08213021047413,long:2.416241755709052;
date:1485845234,lat:47.08209785632789,long:2.4161944817751646;
date:1485845244,lat:47.08213993348181,long:2.416080739349127;
date:1485845254,lat:47.082145968452096,long:2.4161456990987062;
date:1485845264,lat:47.08212639670819,long:2.416108064353466;
date:1485845274,lat:47.08208033815026,long:2.416063640266657;
date:1485845284,lat:47.082067262381315,long:2.4160373210906982;
date:1485845294,lat:47.08206843584776,long:2.4161791428923607;
date:1485845304,lat:47.08209940697998,long:2.416172605007887;
date:1485845314,lat:47.082063406705856,long:2.4158649891614914;
date:1485845324,lat:47.081985832192004,long:2.4157986883074045;
date:1485845334,lat:47.081950418651104,long:2.415757868438959;
date:1485845344,lat:47.08193042781204,long:2.4157509114593267;
date:1485845354,lat:47.08195431623608,long:2.4157713633030653;
date:1485845364,lat:47.08195431623608,long:2.4157713633030653;
date:1485845374,lat:47.08194446749985,long:2.415819810703397;
date:1485845384,lat:47.08195473533124,long:2.4158157035708427;
date:1485845394,lat:47.08196512889117,long:2.4158332217484713;
date:1485845404,lat:47.0820051105693,long:2.4158965051174164;
date:1485845415,lat:47.08204488269985,long:2.4158744607120752;
date:1485845425,lat:47.08203109446913,long:2.415869263932109;
date:1485845435,lat:47.08195389714092,long:2.415717802941799;
date:1485845445,lat:47.08193558268249,long:2.4157200660556555;
date:1485845455,lat:47.081940402276814,long:2.415722580626607;
date:1485845465,lat:47.081940402276814,long:2.415722580626607;
date:1485845475,lat:47.08194840699434,long:2.415710259228945;
date:1485845485,lat:47.081949287094176,long:2.4156956747174263;
date:1485845495,lat:47.081972463056445,long:2.4157183058559895;
date:1485845505,lat:47.0819757739082,long:2.415738757699728;
date:1485845515,lat:47.081945054233074,long:2.415778823196888;
date:1485845525,lat:47.081945054233074,long:2.415778823196888;
date:1485845535,lat:47.081945054233074,long:2.415778823196888;
date:1485845545,lat:47.081960518844426,long:2.4157872889190912;
date:1485845555,lat:47.081960518844426,long:2.4157872889190912;
date:1485845566,lat:47.08200360182673,long:2.415796425193548;
date:1485845576,lat:47.082003434188664,long:2.4157951679080725;
date:1485845586,lat:47.08199161570519,long:2.415814194828272;
date:1485845596,lat:47.08196496125311,long:2.415807908400893;
date:1485845606,lat:47.08196496125311,long:2.415807908400893;
date:1485845616,lat:47.08199526183307,long:2.415805645287037;
date:1485845626,lat:47.08197669591755,long:2.415802041068673;
