date:1002535,lat:47.111660,long:2.415271;
date:1002555,lat:47.111793,long:2.415368;
date:1002575,lat:47.111931,long:2.415460;
date:1002595,lat:47.112064,long:2.415547;
date:1002615,lat:47.112190,long:2.415644;
date:1002635,lat:47.112324,long:2.415737;
date:1002655,lat:47.112442,long:2.415824;
date:1002675,lat:47.112583,long:2.415910;
date:1002695,lat:47.112721,long:2.416010;
date:1002715,lat:47.112869,long:2.416103;
date:1002735,lat:47.113022,long:2.416197;
date:1002755,lat:47.113167,long:2.416301;
date:1002775,lat:47.113316,long:2.416413;
date:1002795,lat:47.113453,long:2.416526;
date:1002815,lat:47.113605,long:2.416621;
date:1002835,lat:47.113743,long:2.416718;
date:1002855,lat:47.113876,long:2.416819;
date:1002875,lat:47.114018,long:2.416885;
date:1002895,lat:47.114166,long:2.416954;
date:1002915,lat:47.114311,long:2.417040;
date:1002935,lat:47.114441,long:2.417126;
date:1002955,lat:47.114578,long:2.417213;
date:1002975,lat:47.114704,long:2.417327;
date:1002995,lat:47.114841,long:2.417409;
date:1003015,lat:47.114971,long:2.417505;
date:1003035,lat:47.115093,long:2.417591;
date:1003055,lat:47.115227,long:2.417682;
date:1003075,lat:47.115356,long:2.417781;
date:1003095,lat:47.115490,long:2.417870;
date:1003115,lat:47.115620,long:2.417955;
date:1003135,lat:47.115738,long:2.418056;
date:1003155,lat:47.115856,long:2.418138;
date:1003175,lat:47.115974,long:2.418215;
date:1003195,lat:47.116089,long:2.418288;
date:1003215,lat:47.116200,long:2.418376;
date:1003235,lat:47.116310,long:2.418444;
date:1003255,lat:47.116405,long:2.418529;
date:1003275,lat:47.116512,long:2.418623;
date:1003295,lat:47.116596,long:2.418704;
date:1003315,lat:47.116596,long:2.418704;
date:1003335,lat:47.116596,long:2.418704;
date:1003355,lat:47.116596,long:2.418704;
date:1003375,lat:47.116596,long:2.418704;
date:1003395,lat:47.116596,long:2.418704;
date:1003415,lat:47.116928,long:2.418459;
date:1003435,lat:47.117031,long:2.418304;
date:1003455,lat:47.117100,long:2.418181;
date:1003475,lat:47.117100,long:2.418181;
date:1003495,lat:47.117237,long:2.418160;
date:1003515,lat:47.117279,long:2.418032;
date:1003535,lat:47.117306,long:2.417891;
date:1003555,lat:47.117363,long:2.417725;
date:1003575,lat:47.117432,long:2.417558;
date:1003595,lat:47.117512,long:2.417403;
date:1003615,lat:47.117599,long:2.417237;
date:1003635,lat:47.117680,long:2.417066;
date:1003655,lat:47.117779,long:2.416892;
date:1003675,lat:47.117866,long:2.416735;
date:1003695,lat:47.117943,long:2.416580;
date:1003715,lat:47.118027,long:2.416415;
date:1003735,lat:47.118092,long:2.416238;
date:1003755,lat:47.118160,long:2.416062;
date:1003775,lat:47.118233,long:2.415895;
date:1003795,lat:47.118305,long:2.415739;
date:1003815,lat:47.118362,long:2.415556;
date:1003835,lat:47.118443,long:2.415400;
date:1003855,lat:47.118527,long:2.415250;
date:1003875,lat:47.118618,long:2.415113;
date:1003895,lat:47.118660,long:2.414935;
date:1003915,lat:47.118710,long:2.414766;
date:1003935,lat:47.118763,long:2.414599;
date:1003955,lat:47.118832,long:2.414458;
date:1003975,lat:47.118919,long:2.414313;
date:1003995,lat:47.118980,long:2.414170;
date:1004015,lat:47.119045,long:2.414026;
date:1004035,lat:47.119114,long:2.413867;
date:1004055,lat:47.119183,long:2.413745;
date:1004075,lat:47.119247,long:2.413595;
date:1004095,lat:47.119316,long:2.413450;
date:1004115,lat:47.119377,long:2.413305;
date:1004135,lat:47.119442,long:2.413185;
date:1004155,lat:47.119484,long:2.413045;
date:1004175,lat:47.119560,long:2.412918;
date:1004195,lat:47.119625,long:2.412791;
date:1004215,lat:47.119694,long:2.412645;
date:1004235,lat:47.119774,long:2.412495;
date:1004255,lat:47.119854,long:2.412327;
date:1004275,lat:47.119919,long:2.412184;
date:1004295,lat:47.119976,long:2.412046;
date:1004315,lat:47.120041,long:2.411922;
date:1004335,lat:47.120098,long:2.411784;
date:1004355,lat:47.120163,long:2.411652;
date:1004375,lat:47.120243,long:2.411525;
date:1004395,lat:47.120312,long:2.411398;
date:1004415,lat:47.120384,long:2.411246;
date:1004435,lat:47.120445,long:2.411115;
date:1004455,lat:47.120514,long:2.410966;
date:1004475,lat:47.120571,long:2.410818;
date:1004495,lat:47.120632,long:2.410707;
date:1004515,lat:47.120632,long:2.410707;
date:1004535,lat:47.120632,long:2.410707;
date:1004555,lat:47.120632,long:2.410707;
date:1004575,lat:47.120781,long:2.410380;
date:1004595,lat:47.120880,long:2.410143;
date:1004615,lat:47.120964,long:2.409955;
date:1004635,lat:47.121044,long:2.409798;
date:1004655,lat:47.121117,long:2.409655;
date:1004675,lat:47.121246,long:2.409384;
date:1004695,lat:47.121304,long:2.409241;
date:1004715,lat:47.121361,long:2.409124;
date:1004735,lat:47.121361,long:2.409124;
date:1004755,lat:47.121361,long:2.409124;
date:1004775,lat:47.121361,long:2.409124;
date:1004795,lat:47.121361,long:2.409124;
date:1004815,lat:47.121361,long:2.409124;
date:1004835,lat:47.121361,long:2.409124;
date:1004855,lat:47.121689,long:2.408449;
date:1004875,lat:47.121819,long:2.408398;
date:1004895,lat:47.121944,long:2.408353;
date:1004915,lat:47.122063,long:2.408293;
date:1004935,lat:47.122200,long:2.408253;
date:1004955,lat:47.122322,long:2.408196;
date:1004975,lat:47.122459,long:2.408143;
date:1004995,lat:47.122574,long:2.408093;
date:1005015,lat:47.122688,long:2.408020;
date:1005035,lat:47.122818,long:2.408004;
date:1005055,lat:47.122940,long:2.408007;
date:1005075,lat:47.123062,long:2.407979;
date:1005095,lat:47.123173,long:2.407918;
date:1005115,lat:47.123310,long:2.407838;
date:1005135,lat:47.123409,long:2.407738;
date:1005155,lat:47.123524,long:2.407659;
date:1005175,lat:47.123642,long:2.407609;
date:1005195,lat:47.123768,long:2.407602;
date:1005215,lat:47.123898,long:2.407583;
date:1005235,lat:47.124031,long:2.407563;
date:1005255,lat:47.124157,long:2.407536;
date:1005275,lat:47.124271,long:2.407589;
date:1005295,lat:47.124374,long:2.407609;
date:1005315,lat:47.124477,long:2.407641;
date:1005335,lat:47.124477,long:2.407641;
date:1005355,lat:47.124477,long:2.407641;
date:1005375,lat:47.124535,long:2.406914;
date:1005395,lat:47.124519,long:2.406727;
date:1005415,lat:47.124500,long:2.406557;
date:1005435,lat:47.124493,long:2.406364;
date:1005455,lat:47.124454,long:2.406180;
date:1005475,lat:47.124447,long:2.405984;
date:1005495,lat:47.124466,long:2.405797;
date:1005515,lat:47.124474,long:2.405597;
date:1005535,lat:47.124435,long:2.405405;
date:1005555,lat:47.124443,long:2.405227;
date:1005575,lat:47.124493,long:2.405010;
date:1005595,lat:47.124493,long:2.404818;
date:1005615,lat:47.124519,long:2.404604;
date:1005635,lat:47.124474,long:2.404406;
date:1005655,lat:47.124481,long:2.404199;
date:1005675,lat:47.124432,long:2.404022;
date:1005695,lat:47.124352,long:2.403845;
date:1005715,lat:47.124348,long:2.403650;
date:1005735,lat:47.124245,long:2.403480;
date:1005755,lat:47.124229,long:2.403311;
date:1005775,lat:47.124187,long:2.403150;
date:1005795,lat:47.124149,long:2.402976;
date:1005815,lat:47.124103,long:2.402785;
date:1005835,lat:47.124069,long:2.402600;
date:1005855,lat:47.123966,long:2.402416;
date:1005875,lat:47.123844,long:2.402238;
date:1005895,lat:47.123791,long:2.402046;
date:1005915,lat:47.123711,long:2.401839;
date:1005935,lat:47.123714,long:2.401628;
date:1005955,lat:47.123612,long:2.401438;
date:1005975,lat:47.123558,long:2.401238;
date:1005995,lat:47.123539,long:2.401037;
date:1006015,lat:47.123505,long:2.400831;
date:1006035,lat:47.123528,long:2.400619;
date:1006055,lat:47.123550,long:2.400428;
date:1006075,lat:47.123581,long:2.400223;
date:1006095,lat:47.123623,long:2.400022;
date:1006115,lat:47.123669,long:2.399816;
date:1006135,lat:47.123749,long:2.399644;
date:1006155,lat:47.123837,long:2.399488;
date:1006175,lat:47.123924,long:2.399353;
date:1006195,lat:47.124023,long:2.399236;
date:1006215,lat:47.124126,long:2.399091;
date:1006235,lat:47.124245,long:2.398968;
date:1006255,lat:47.124340,long:2.398826;
date:1006275,lat:47.124443,long:2.398683;
date:1006295,lat:47.124500,long:2.398535;
date:1006315,lat:47.124569,long:2.398361;
date:1006335,lat:47.124672,long:2.398191;
date:1006355,lat:47.124752,long:2.397993;
date:1006375,lat:47.124836,long:2.397820;
date:1006395,lat:47.124924,long:2.397652;
date:1006415,lat:47.124989,long:2.397447;
date:1006435,lat:47.125092,long:2.397301;
date:1006455,lat:47.125164,long:2.397137;
date:1006475,lat:47.125240,long:2.396983;
date:1006495,lat:47.125324,long:2.396812;
date:1006515,lat:47.125382,long:2.396634;
date:1006535,lat:47.125442,long:2.396457;
date:1006555,lat:47.125523,long:2.396298;
date:1006575,lat:47.125595,long:2.396124;
date:1006595,lat:47.125652,long:2.395954;
date:1006615,lat:47.125687,long:2.395774;
date:1006635,lat:47.125702,long:2.395587;
date:1006655,lat:47.125698,long:2.395396;
date:1006675,lat:47.125698,long:2.395205;
date:1006695,lat:47.125709,long:2.395014;
date:1006715,lat:47.125709,long:2.394814;
date:1006735,lat:47.125729,long:2.394630;
date:1006755,lat:47.125759,long:2.394444;
date:1006775,lat:47.125813,long:2.394285;
date:1006795,lat:47.125923,long:2.394188;
date:1006815,lat:47.126064,long:2.394134;
date:1006835,lat:47.126194,long:2.394144;
date:1006855,lat:47.126316,long:2.394144;
date:1006875,lat:47.126461,long:2.394134;
date:1006895,lat:47.126598,long:2.394136;
date:1006915,lat:47.126747,long:2.394129;
date:1006935,lat:47.126892,long:2.394115;
date:1006955,lat:47.127060,long:2.394121;
date:1006975,lat:47.127232,long:2.394089;
date:1006995,lat:47.127396,long:2.394083;
date:1007015,lat:47.127575,long:2.394062;
date:1007035,lat:47.127754,long:2.394057;
date:1007055,lat:47.127933,long:2.394035;
date:1007075,lat:47.128105,long:2.394015;
date:1007095,lat:47.128269,long:2.394006;
date:1007115,lat:47.128437,long:2.394013;
date:1007135,lat:47.128605,long:2.394037;
date:1007155,lat:47.128765,long:2.394082;
date:1007175,lat:47.128929,long:2.394134;
date:1007195,lat:47.129086,long:2.394213;
date:1007215,lat:47.129230,long:2.394281;
date:1007235,lat:47.129383,long:2.394302;
date:1007255,lat:47.129524,long:2.394319;
date:1007275,lat:47.129665,long:2.394307;
date:1007295,lat:47.129803,long:2.394277;
date:1007315,lat:47.129944,long:2.394234;
date:1007335,lat:47.130093,long:2.394205;
date:1007355,lat:47.130245,long:2.394146;
date:1007375,lat:47.130375,long:2.394114;
date:1007395,lat:47.130508,long:2.394081;
date:1007415,lat:47.130653,long:2.394044;
date:1007435,lat:47.130787,long:2.394013;
date:1007455,lat:47.130920,long:2.393973;
date:1007475,lat:47.131054,long:2.393954;
date:1007495,lat:47.131184,long:2.393914;
date:1007515,lat:47.131306,long:2.393877;
date:1007535,lat:47.131439,long:2.393855;
date:1007555,lat:47.131580,long:2.393838;
date:1007575,lat:47.131721,long:2.393822;
date:1007595,lat:47.131859,long:2.393833;
date:1007615,lat:47.131996,long:2.393839;
date:1007635,lat:47.132130,long:2.393832;
date:1007655,lat:47.132259,long:2.393852;
date:1007675,lat:47.132401,long:2.393816;
date:1007695,lat:47.132530,long:2.393784;
date:1007715,lat:47.132660,long:2.393744;
date:1007735,lat:47.132790,long:2.393699;
date:1007755,lat:47.132923,long:2.393666;
date:1007775,lat:47.133041,long:2.393614;
date:1007795,lat:47.133175,long:2.393567;
date:1007815,lat:47.133312,long:2.393522;
date:1007835,lat:47.133438,long:2.393502;
date:1007855,lat:47.133564,long:2.393492;
date:1007875,lat:47.133697,long:2.393476;
date:1007895,lat:47.133835,long:2.393490;
date:1007915,lat:47.133961,long:2.393506;
date:1007935,lat:47.134087,long:2.393521;
