date:1002335,lat:47.1102028,long:2.4143324;
date:1002355,lat:47.1102028,long:2.4143324;
date:1002375,lat:47.1105385,long:2.4145181;
date:1002395,lat:47.1107025,long:2.4146416;
date:1002415,lat:47.1108322,long:2.4147177;
date:1002435,lat:47.1109772,long:2.4147942;
date:1002455,lat:47.1111069,long:2.4148827;
date:1002475,lat:47.1112518,long:2.4149833;
date:1002495,lat:47.1113892,long:2.4150794;
date:1002515,lat:47.1115379,long:2.415163;
date:1002535,lat:47.11166,long:2.4152708;
date:1002555,lat:47.1117935,long:2.4153683;
date:1002575,lat:47.1119308,long:2.4154601;
date:1002595,lat:47.1120644,long:2.4155469;
date:1002615,lat:47.1121902,long:2.4156444;
date:1002635,lat:47.1123238,long:2.4157374;
date:1002655,lat:47.112442,long:2.4158244;
date:1002675,lat:47.1125832,long:2.4159098;
date:1002695,lat:47.1127205,long:2.4160101;
date:1002715,lat:47.1128693,long:2.4161029;
date:1002735,lat:47.1130219,long:2.4161975;
date:1002755,lat:47.1131668,long:2.4163015;
date:1002775,lat:47.1133156,long:2.4164131;
date:1002795,lat:47.1134529,long:2.4165261;
date:1002815,lat:47.1136055,long:2.4166207;
date:1002835,lat:47.1137428,long:2.4167182;
date:1002855,lat:47.1138763,long:2.4168186;
date:1002875,lat:47.1140175,long:2.4168854;
date:1002895,lat:47.1141663,long:2.416954;
date:1002915,lat:47.1143112,long:2.4170403;
date:1002935,lat:47.1144409,long:2.4171259;
date:1002955,lat:47.1145782,long:2.4172132;
date:1002975,lat:47.1147041,long:2.4173267;
date:1002995,lat:47.1148415,long:2.4174094;
date:1003015,lat:47.1149712,long:2.417505;
date:1003035,lat:47.1150932,long:2.4175909;
date:1003055,lat:47.1152267,long:2.4176817;
date:1003075,lat:47.1153564,long:2.4177806;
date:1003095,lat:47.11549,long:2.4178705;
date:1003115,lat:47.1156197,long:2.4179549;
date:1003135,lat:47.1157379,long:2.4180558;
date:1003155,lat:47.1158562,long:2.4181383;
date:1003175,lat:47.1159744,long:2.4182146;
date:1003195,lat:47.1160889,long:2.418288;
date:1003215,lat:47.1161995,long:2.418376;
date:1003235,lat:47.1163101,long:2.4184444;
date:1003255,lat:47.1164055,long:2.4185295;
date:1003275,lat:47.1165123,long:2.4186225;
date:1003295,lat:47.1165962,long:2.418704;
date:1003315,lat:47.1165962,long:2.418704;
date:1003335,lat:47.1165962,long:2.418704;
date:1003355,lat:47.1165962,long:2.418704;
date:1003375,lat:47.1165962,long:2.418704;
date:1003395,lat:47.1165962,long:2.418704;
date:1003415,lat:47.1169281,long:2.4184594;
date:1003435,lat:47.1170311,long:2.4183044;
date:1003455,lat:47.1170998,long:2.4181812;
date:1003475,lat:47.1170998,long:2.4181812;
date:1003495,lat:47.1172371,long:2.4181604;
date:1003515,lat:47.1172791,long:2.4180315;
date:1003535,lat:47.1173058,long:2.417891;
date:1003555,lat:47.117363,long:2.4177246;
date:1003575,lat:47.1174316,long:2.4175582;
date:1003595,lat:47.1175117,long:2.4174032;
date:1003615,lat:47.1175995,long:2.4172368;
date:1003635,lat:47.1176796,long:2.4170659;
date:1003655,lat:47.1177788,long:2.4168925;
date:1003675,lat:47.1178665,long:2.4167347;
date:1003695,lat:47.1179428,long:2.41658;
date:1003715,lat:47.1180267,long:2.4164152;
date:1003735,lat:47.1180916,long:2.4162376;
date:1003755,lat:47.1181602,long:2.4160619;
date:1003775,lat:47.1182327,long:2.4158952;
date:1003795,lat:47.1183052,long:2.4157393;
date:1003815,lat:47.1183624,long:2.4155557;
date:1003835,lat:47.1184425,long:2.4154;
date:1003855,lat:47.1185265,long:2.4152498;
date:1003875,lat:47.118618,long:2.4151125;
date:1003895,lat:47.11866,long:2.4149351;
date:1003915,lat:47.1187096,long:2.4147656;
date:1003935,lat:47.118763,long:2.4145992;
date:1003955,lat:47.1188316,long:2.4144578;
date:1003975,lat:47.1189194,long:2.4143126;
date:1003995,lat:47.1189804,long:2.4141705;
date:1004015,lat:47.1190453,long:2.414026;
date:1004035,lat:47.1191139,long:2.4138675;
date:1004055,lat:47.1191826,long:2.4137454;
date:1004075,lat:47.1192474,long:2.4135952;
date:1004095,lat:47.1193161,long:2.4134495;
date:1004115,lat:47.1193771,long:2.413305;
date:1004135,lat:47.119442,long:2.4131846;
date:1004155,lat:47.1194839,long:2.4130447;
date:1004175,lat:47.1195602,long:2.4129176;
date:1004195,lat:47.1196251,long:2.4127913;
date:1004215,lat:47.1196938,long:2.4126449;
date:1004235,lat:47.1197739,long:2.4124954;
date:1004255,lat:47.119854,long:2.4123268;
date:1004275,lat:47.1199188,long:2.4121838;
date:1004295,lat:47.119976,long:2.4120464;
date:1004315,lat:47.1200409,long:2.411922;
date:1004335,lat:47.1200981,long:2.4117842;
date:1004355,lat:47.120163,long:2.4116518;
date:1004375,lat:47.1202431,long:2.4115245;
date:1004395,lat:47.1203117,long:2.4113979;
date:1004415,lat:47.1203842,long:2.4112458;
date:1004435,lat:47.1204453,long:2.4111145;
date:1004455,lat:47.1205139,long:2.4109657;
date:1004475,lat:47.1205711,long:2.4108183;
date:1004495,lat:47.1206322,long:2.4107072;
date:1004515,lat:47.1206322,long:2.4107072;
date:1004535,lat:47.1206322,long:2.4107072;
date:1004555,lat:47.1206322,long:2.4107072;
date:1004575,lat:47.1207809,long:2.4103796;
date:1004595,lat:47.1208801,long:2.4101427;
date:1004615,lat:47.1209641,long:2.409955;
date:1004635,lat:47.1210442,long:2.4097977;
date:1004655,lat:47.1211166,long:2.4096551;
date:1004675,lat:47.1212463,long:2.4093838;
date:1004695,lat:47.1213036,long:2.4092407;
date:1004715,lat:47.1213608,long:2.4091239;
date:1004735,lat:47.1213608,long:2.4091239;
date:1004755,lat:47.1213608,long:2.4091239;
date:1004775,lat:47.1213608,long:2.4091239;
date:1004795,lat:47.1213608,long:2.4091239;
date:1004815,lat:47.1213608,long:2.4091239;
date:1004835,lat:47.1213608,long:2.4091239;
date:1004855,lat:47.1216888,long:2.4084489;
date:1004875,lat:47.1218185,long:2.4083982;
date:1004895,lat:47.1219444,long:2.4083526;
date:1004915,lat:47.1220627,long:2.4082932;
date:1004935,lat:47.1222,long:2.4082534;
date:1004955,lat:47.1223221,long:2.4081964;
date:1004975,lat:47.1224594,long:2.4081435;
date:1004995,lat:47.1225739,long:2.4080927;
date:1005015,lat:47.1226883,long:2.4080203;
date:1005035,lat:47.122818,long:2.4080043;
date:1005055,lat:47.1229401,long:2.4080074;
date:1005075,lat:47.1230621,long:2.4079788;
date:1005095,lat:47.1231728,long:2.4079177;
date:1005115,lat:47.1233101,long:2.4078381;
date:1005135,lat:47.1234093,long:2.4077375;
date:1005155,lat:47.1235237,long:2.4076595;
date:1005175,lat:47.123642,long:2.4076092;
date:1005195,lat:47.1237679,long:2.4076021;
date:1005215,lat:47.1238976,long:2.4075832;
date:1005235,lat:47.1240311,long:2.407563;
date:1005255,lat:47.124157,long:2.4075358;
date:1005275,lat:47.1242714,long:2.4075887;
date:1005295,lat:47.1243744,long:2.407609;
date:1005315,lat:47.1244774,long:2.4076414;
date:1005335,lat:47.1244774,long:2.4076414;
date:1005355,lat:47.1244774,long:2.4076414;
date:1005375,lat:47.1245346,long:2.4069142;
date:1005395,lat:47.1245193,long:2.4067273;
date:1005415,lat:47.1245003,long:2.4065568;
